Name,Description,Visibility,Date,Maturity_Level,Core_Features,Secondary_Features,Technical_Debt,Versioning,Maintenance
Loassar/CV-QKD-attack-detection,,public,2024-09-15T08:19:27Z,3,54,58,61,62,66
vttresearch/BB84-Authentication,Quantum safe authentication demo for BB84 QKD protocol.,public,2024-12-04T13:07:16Z,2,36,42,74,48,54
JoshuaJCollier/TF-QKD-Ground-to-Satellite,Repo for simulations of impact of atmospheric turbulence o n QBER of ground to satellite TF-QKD,public,2024-08-29T03:30:04Z,1,18,26,87,34,42
qkd888/qkdev-Klank-Records-Web-Label,,public,2024-10-27T04:56:15Z,1,18,26,87,34,42
UmarYaksambi/QKD-Based-Messaging-System,Implementing Encryption using the principles of Quantum Physics. Quantum Key Distribution (QKD) System Simulation bla bla bla,public,2025-04-15T15:01:04Z,2,36,42,74,48,54
Darcy232003/Encryption-in-Python-using-QKD,"Encryption Decryption in Python with using QKD, AES and cryptography library.",public,2024-05-30T15:35:50Z,1,18,26,87,34,42
werefin/1W-QKD-Quantum-Walks,,public,2025-06-09T10:21:33Z,1,18,26,87,34,42
WuXieko/BB84-QKD-En-Decryption,using QISKIT to construct an integrated tool which can generate 128 bits QK and do encryption&decryption,public,2025-04-07T03:36:08Z,2,36,42,74,48,54
RQC-QKD-Software/QRate-UDP-Proxy,UDP proxy-server for simplified access to QKD API,"public, archived",2023-01-27T20:49:35Z,2,36,42,74,48,54
juangedaan/bb84-qkd-on-amazon-braket,"This project and guide show a full BB84 implementation on Amazon Braket, covering state prep, basis choice, sifting, error estimation, and key reconciliation using Braket circuits and classical post-processing for secure key generation.",public,2025-05-29T18:08:44Z,2,36,42,74,48,54
MerijnJongepier/Quantum-Engineering-Project-Group-6-QKD,,public,2020-09-11T01:56:11Z,1,18,26,87,34,42
Hussanulmaab/Cascade-QKD_BB84-Post-Processing_C-,"Cascade Algorithm Post Processing of QKD. Paper (""Secret key Reconciliation by Public Discussion""). Results will be Published in a few weeks.",public,2025-02-03T14:41:12Z,3,54,58,61,62,66
nayanesh-reddy/PVD-Steganography-Using-Compression-RSA-and-QKD,,public,2023-04-09T09:37:43Z,1,18,26,87,34,42
Panchadip-128/QKD-Integration-in-6G-7G-networks,,public,2025-03-08T09:35:42Z,1,18,26,87,34,42
Ashesh27/Establishing-a-QKD-Channel-using-a-continuous-photon,Designed and develop a continuous model for quantum key distribution based on the polarization state of photons. The model works with a limited number of allowed polarization states and the characteristics of the laser to enable a larger number of possible states.,public,2024-10-20T13:04:50Z,3,54,58,61,62,66
QNLab-USTC/Key-Management-and-Service-Framework-for-QKD-Networks,,public,2025-05-07T11:27:59Z,2,36,42,74,48,54
XQP-Munich/PolarizationCompensation,Polarization Compensation using 3 waveplates and a typical QKD sender/receiver pair,public,2025-02-17T11:29:12Z,3,54,58,61,62,66
Nandini2801/Quantum-Network,This repo contains the QKD protocols used for secret communication over a quantum channel,public,2024-09-14T10:21:38Z,2,36,42,74,48,54
quantumlah/qcrypto,The code base for the entanglement-based QKD implementation at the National University of Singapore,public,2020-09-11T01:57:48Z,2,36,42,74,48,54
ArthurWitt/QIAHackathon,"QIA Hackathon 2024 at TU Delft, Key Reconciliation, Channel Authentification, Privacy Amplification in QKD",public,2024-06-20T10:43:38Z,1,18,26,87,34,42
MAI-cyber/OKD_algorithm,"The python script for a QKD project, containing algorithms for Error Correction and Privacy Amplification.",public,2024-06-20T10:41:13Z,1,18,26,87,34,42
Optical-Quantum-Communication-Theory/FiniteSizeAnalysisOfPrepareAndMeasureAndDecoyStateQKDViaEntropyAccumulation,,public,2025-04-23T16:18:05Z,1,18,26,87,34,42
syedshubha/QI_Protocols,"I will demonstrate how to implement some protocols in Quantum Information, such as QKD protocols, Teleportation etc.",public,2025-01-15T03:24:06Z,1,18,26,87,34,42
mszadkar/IBM-QX-and-Qiskit,This repository contains details of Qiskit implementations of various QKD protocols and attacks such as intercept-resend attack,public,2024-01-06T17:31:49Z,4,72,74,48,76,78
werefin/Quantum-Cryptography-Security,Quantum cryptography & security: lab reports (UniPD),public,2024-09-01T15:02:45Z,1,18,26,87,34,42
antoniag5/Qrypto-Escape,Submission for the Quantum Games Hackathon 2024. Made in one day using Unity,public,2025-01-10T15:02:42Z,3,54,58,61,62,66
DarkStarStrix/Quantum_Key_Distrubtion,"Quantum key distribution (QKD) is a method of securely generating and sharing encryption keys between two parties using the principles of quantum mechanics. QKD allows the parties to detect any eavesdropping attempts by a third party, and to produce a random secret key that is known only to them.","public, archived",2024-09-28T15:42:12Z,2,36,42,74,48,54
danielhutama/Silicon-Photonics---Quantum-Cryptographic-Tasks,"Contains files for a report on silicon photonics as a platform for performing quantum cryptographic tasks, such as Shor's algorithm and BB84 QKD",public,2024-02-21T07:15:19Z,3,54,58,61,62,66
VarunAgarwalOfficial/CSE3501-Quantom-Encryption,"CSE3501 Quantum Encryption Project! This project is a Python implementation of enhanced quantum cryptography, focusing on secure communication through Quantum Key Distribution (QKD) between entities",public,2024-09-14T10:56:29Z,2,36,42,74,48,54
AniketP04/Quantum-Cryptography,,public,2023-11-26T06:43:08Z,2,36,42,74,48,54
1byinf8/QuantumVault,"Qryptovault is a cutting-edge encryption system that leverages Quantum Key Distribution (QKD) for secure key transfer, AES encryption for data protection, and a custom cryptographic chain for decentralization.",public,2025-03-03T16:56:43Z,2,36,42,74,48,54
sawyer-888/QuantumChat,"QuantumChat is a highly secure, real-time chat application that uses pseudo-quantum cryptography to encrypt messages. Instead of traditional encryption, it simulates quantum key distribution (QKD), making eavesdropping impossible.",public,2025-03-13T01:56:48Z,1,18,26,87,34,42
rezi-gelenidze/quantum-key-distribution-protocol,"Simulated Quantum Key Distribution (QKD) Protocol implementation in Python and Qiskit, created during IBM's QxQ Coding School Quantum Computing course. Showcases key distribution and eavesdropper interception scenarios in secure communications.",public,2024-06-29T19:11:26Z,3,54,58,61,62,66
BaramayStation/TetraCryptPGC-Test-v1.0.0,"TetraCryptPGC is an advanced post-quantum cryptographic (PQC) suite designed for secure communication and key exchange in zero-trust environments. It integrates cutting-edge cryptographic algorithms with Quantum Key Distribution (QKD), Hardware Security Modules (HSM), Secure Enclaves (SGX & TrustZone), and Multi-Party Computatio",public,2025-05-07T17:47:40Z,1,18,26,87,34,42
OMRinger/Quantum-Communication-,"The Quantum Communication Project leverages quantum entanglement to simulate secure and efficient data transmission, comparing it with classical systems. It includes QKD simulations, performance analysis tools, and hybrid protocols for integrating quantum and classical communications, aiming to advance secure global communication technologies.",public,2024-07-03T01:51:23Z,1,18,26,87,34,42
PraveenS2022/Secured-file-sharing-through-Quantum-Computing,"Developed a file-sharing solution using Quantum Cryptography, AES, and RSA hybrid encryption to defend against classical and quantum-based attacks. Features include Quantum Key Distribution (QKD) for secure key exchange, IBM Quantum Servers for quantum-safe testing, file splitting for enhanced security, and steganography for covert transmission.",public,2025-05-07T18:17:48Z,2,36,42,74,48,54
